#,Beer Name,Style,Style #,abv,ibu,temp [F],acl [ppm],pH,turb_v,ntu ,R,G,B,Hex Color,Brewery
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.43,536,3.72,2.23,2511.96,20,27,25,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.43,537,3.71,3.22,2520.33,19,26,24,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.79,538,3.72,3.2,2547.11,22,30,28,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.79,539,3.72,3.2,2542.65,22,29,26,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.58,540,3.72,3.19,2555.93,23,30,27,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.58,541,3.71,3.19,2557.32,23,29,27,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.58,541,3.72,3.19,2560.81,23,30,28,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.72,541,3.71,3.18,2580.69,24,31,28,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.5,541,3.72,3.18,2570.27,24,31,28,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.65,541,3.71,3.2,2549.63,28,37,34,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,63.15,541,3.72,3.21,2541.14,23,30,27,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,63.01,541,3.71,3.21,2531.04,24,30,28,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.94,540,3.71,3.21,2525.96,26,33,31,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.58,540,3.72,3.22,2526.12,26,33,30,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.72,540,3.72,3.22,2528.44,27,35,33,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.94,540,3.72,3.21,2522.79,17,21,19,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.65,539,3.72,3.23,2511.68,26,33,31,,
11,Pabst Blue Ribbon,American Pale Lager,1,4.8,10,62.87,539,3.72,3.23,2509.57,25,33,31,,
21,Guinness,Extra Stout,2,5.6,50,59.65,522,3.67,1.17,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,58.93,521,3.69,1.17,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,59.02,521,3.69,1.17,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,58.74,522,3.7,1.17,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,58.74,522,3.7,1.17,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,58.37,522,3.69,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,58.37,522,3.69,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.6,522,3.7,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.93,522,3.69,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.43,522,3.68,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.35,522,3.69,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.17,521,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,59.47,522,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,59.47,522,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,60.17,522,3.69,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,61.18,522,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,61.26,522,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,61.26,522,3.68,1.15,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,61.34,522,3.69,1.16,3000,6,11,11,,
21,Guinness,Extra Stout,2,5.6,50,61.1,522,3.7,1.16,3000,6,11,11,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.02,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,3.99,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.01,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4.02,,,,,,,
31,Fat Tire,Ale,3,5.2,15,,,4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.39,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.39,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.41,,,,,,,
41,Legend,IPA,4,7,60,,,4.41,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.42,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.42,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,
41,Legend,IPA,4,7,60,,,4.42,,,,,,,
41,Legend,IPA,4,7,60,,,4.41,,,,,,,
41,Legend,IPA,4,7,60,,,4.4,,,,,,,